代码,名称,行业,风险详情
000004,*ST国华,计算机,2020净现比过低(0.06) | 2022经营性亏损(利润与现金流双负) | 2022应收账款占比过高(52.5%) | 2023负债率过高(53.1%) | 2023经营性亏损(利润与现金流双负) | 2023应收账款占比过高(43.9%) | 2024负债率过高(76.6%) | 2024经营性亏损(利润与现金流双负)
000007,全新好,一般零售,2020负债率过高(81.4%) | 2020经营性亏损(利润与现金流双负) | 2021负债率过高(73.6%) | 2021净现比过低(-1.22) | 2022负债率过高(71.2%) | 2023负债率过高(65.3%)
000008,神州高铁,轨交设备Ⅱ,2023负债率过高(65.7%) | 2024负债率过高(68.8%)
000009,中国宝安,综合Ⅱ,2021净现比过低(-0.27) | 2022净现比过低(0.25)
000010,美丽生态,基础建设,2020负债率过高(77.0%) | 2020净现比过低(-9.06) | 2020应收账款占比过高(54.5%) | 2021负债率过高(81.3%) | 2021净现比过低(-2.36) | 2021应收账款占比过高(59.2%) | 2022负债率过高(75.3%) | 2022经营性亏损(利润与现金流双负) | 2022应收账款占比过高(51.3%) | 2023负债率过高(92.1%) | 2023经营性亏损(利润与现金流双负) | 2023应收账款占比过高(50.2%) | 2024负债率过高(88.3%) | 2024应收账款占比过高(56.7%)
000016,深康佳Ａ,冰洗,2020负债率过高(78.5%) | 2020净现比过低(0.37) | 2021负债率过高(74.4%) | 2021净现比过低(0.89) | 2022负债率过高(77.7%) | 2022经营性亏损(利润与现金流双负) | 2023负债率过高(83.5%) | 2024负债率过高(92.7%)
000017,深中华A,钟表珠宝,2020负债率过高(72.0%) | 2020净现比过低(1.04) | 2020应收账款占比过高(60.0%) | 2021负债率过高(75.3%) | 2021应收账款占比过高(48.1%) | 2022经营性亏损(利润与现金流双负) | 2022应收账款占比过高(62.9%) | 2023应收账款占比过高(53.1%) | 2024净现比过低(-1.02) | 2024应收账款占比过高(53.8%)
000019,深粮控股,粮油加工,2020净现比过低(0.71) | 2021净现比过低(1.03) | 2024净现比过低(-0.05)
000020,深华发Ａ,光学光电子,2020负债率过高(46.4%) | 2021负债率过高(48.0%) | 2021净现比过低(-1.71) | 2022负债率过高(41.9%) | 2024负债率过高(40.7%)
000021,深科技,消费电子,2020负债率过高(63.0%) | 2021负债率过高(57.6%) | 2022负债率过高(57.0%) | 2023负债率过高(53.3%)
000025,特  力Ａ,综合Ⅱ,2022净现比过低(-0.62) | 2023净现比过低(-0.51)
000028,国药一致,医药商业,2020负债率过高(57.3%) | 2020净现比过低(1.07) | 2021负债率过高(57.9%) | 2022负债率过高(54.4%) | 2023负债率过高(55.9%) | 2024负债率过高(56.4%) | 2024应收账款占比过高(40.7%)
000030,富奥股份,底盘与发动机系统,2020净现比过低(0.66) | 2022净现比过低(0.56) | 2023净现比过低(0.07) | 2024净现比过低(0.69)
000032,深桑达Ａ,专业工程,2020负债率过高(80.0%) | 2021负债率过高(78.8%) | 2021净现比过低(0.74) | 2022负债率过高(80.8%) | 2022经营性亏损(利润与现金流双负) | 2023负债率过高(79.0%) | 2024负债率过高(82.4%)
000034,神州数码,IT服务Ⅱ,2020负债率过高(84.7%) | 2021负债率过高(82.9%) | 2021净现比过低(-0.63) | 2022负债率过高(79.6%) | 2023负债率过高(79.4%) | 2023净现比过低(-0.13) | 2024负债率过高(78.0%)
000035,中国天楹,固废治理,2020负债率过高(75.2%)
000037,深南电A,公用事业,2021经营性亏损(利润与现金流双负) | 2023净现比过低(-24.13) | 2024净现比过低(-1.72)
000045,深纺织Ａ,光学光电子,2020净现比过低(0.05) | 2021净现比过低(-0.08)
000048,京基智农,农林牧渔,2020负债率过高(71.9%) | 2021负债率过高(82.7%) | 2022负债率过高(84.8%) | 2023净现比过低(-0.24)
000049,德赛电池,电力设备,2020负债率过高(68.8%) | 2020应收账款占比过高(51.4%) | 2021负债率过高(68.2%) | 2021净现比过低(0.61) | 2021应收账款占比过高(47.8%) | 2022负债率过高(66.3%) | 2022净现比过低(0.45)
000050,深天马Ａ,光学光电子,2020负债率过高(54.4%) | 2021负债率过高(60.2%) | 2022负债率过高(62.6%) | 2023负债率过高(64.6%) | 2024负债率过高(64.1%)
000055,方大集团,建筑材料,2021净现比过低(-0.29)
000058,深 赛 格,一般零售,2020负债率过高(57.4%) | 2021负债率过高(54.3%) | 2022负债率过高(53.9%) | 2023负债率过高(53.4%) | 2024负债率过高(51.2%)
000061,农 产 品,一般零售,2020负债率过高(63.4%) | 2021负债率过高(63.8%) | 2022负债率过高(64.3%) | 2023负债率过高(62.8%) | 2024负债率过高(62.8%)
000062,深圳华强,电子,2020负债率过高(50.2%) | 2020净现比过低(-0.77) | 2021负债率过高(56.9%) | 2021净现比过低(-1.05) | 2022负债率过高(52.2%) | 2023负债率过高(54.8%) | 2023净现比过低(-0.16) | 2024负债率过高(55.4%)
000063,中兴通讯,通信,2020负债率过高(69.4%) | 2021负债率过高(68.4%) | 2022负债率过高(67.1%) | 2023负债率过高(66.0%) | 2024负债率过高(64.7%)
000065,北方国际,国际工程,2020净现比过低(-1.7) | 2022净现比过低(1.16) | 2023净现比过低(0.76) | 2024净现比过低(0.62)
000066,中国长城,计算机,2020负债率过高(66.0%) | 2020净现比过低(0.18) | 2021负债率过高(67.1%) | 2021净现比过低(-0.48) | 2022负债率过高(56.2%) | 2022净现比过低(-3.27) | 2023负债率过高(59.3%) | 2024负债率过高(61.8%)
000068,华控赛格,综合环境治理,2020负债率过高(79.0%) | 2020经营性亏损(利润与现金流双负) | 2021负债率过高(83.7%) | 2021经营性亏损(利润与现金流双负) | 2022负债率过高(90.2%) | 2023负债率过高(75.0%) | 2023净现比过低(0.51) | 2024负债率过高(74.2%)
000070,特发信息,通信,2020负债率过高(70.5%) | 2021负债率过高(69.7%) | 2021经营性亏损(利润与现金流双负) | 2022负债率过高(70.0%) | 2023负债率过高(69.2%) | 2024负债率过高(68.1%)
